variation_id,Rsh,Ra,Ca,Rb,Cb,resnorm,condition_number,pc1_sensitivity,pc2_sensitivity,pc3_sensitivity,pc1_rsh_component,pc1_ra_component,pc1_ca_component,pc1_rb_component,pc1_cb_component,pc2_rsh_component,pc2_ra_component,pc2_ca_component,pc2_rb_component,pc2_cb_component,pc3_rsh_component,pc3_ra_component,pc3_ca_component,pc3_rb_component,pc3_cb_component
variation_015,31.06,5262.463333333333,2.02e-05,4761.276666666667,3.36e-05,3.4328137548439406,194636294.54972443,1276290.2037431914,3236.7411837811023,3.069414781455099,-9.107971435959709e-07,-1.7071737304688485e-09,0.9404521839633353,9.748791419181005e-10,0.33992600618041013,-0.0009082365535906684,0.0001330240627155856,-0.3399258632829443,5.238484457273974e-05,0.9404517861847758,0.9937506417145181,-0.09910740688911303,-0.00031134868690702597,-0.05134725376188108,0.000864051391612663
variation_016,31.06,5262.463333333333,2.913333333333333e-05,4260.09,3.36e-05,3.560874772783941,542483706.9492909,893096.0082425011,606.6176536552522,2.8936364082183714,-1.3090793721169035e-06,-9.736488509465913e-11,0.7993134983878953,1.2729233119231317e-09,0.6009142462058876,-0.004945165207555816,0.0005238300323545386,0.6009067397530031,0.0004868335239189095,-0.7993035243608675,0.9935294752092377,-0.08470074460916656,0.0030022179707978177,-0.07549849125809101,-0.003991272744000078
variation_017,27.606666666666666,4761.276666666667,2.913333333333333e-05,4761.276666666667,2.913333333333333e-05,1.2784592166975104,inf,837822.4326527662,4.246216697209086,0.07527575436461784,-1.403568691188701e-06,2.025395099427419e-09,0.707106781185851,2.0253947693253735e-09,0.7071067811858509,-0.9948268290716831,0.07183167878863198,-9.875474886686685e-07,0.07183167880285189,-9.875414266358484e-07,0.10158533436087004,0.703448796920857,9.97707335927626e-08,0.7034487969663252,9.784082313909408e-08
variation_018,27.606666666666666,5262.463333333333,3.36e-05,5262.463333333333,2.02e-05,1.2497871588975646,244221573.28613675,1134705.9848651774,3088.1852021446703,3.023147069873929,-1.0322700570805223e-06,1.530575521057237e-09,0.33992333321344387,4.6120734158057247e-11,0.9404531501015859,0.0009842508332893437,-4.034731027128135e-05,-0.9404526874296274,-0.00011323777016847816,0.3399231670627805,-0.9962204601281417,0.03857653083986813,-0.0009322443489859809,0.07781814831468277,0.00033586274367631023
variation_019,20.7,5262.463333333333,2.02e-05,5262.463333333333,3.36e-05,3.522190289701675,323825787.0208506,850927.0850693344,1784.9269278964828,3.0252507131981026,-1.3958596853471842e-06,2.925178547849954e-09,0.9404551447795937,2.6658200852700257e-09,0.33991781456058656,-0.0017775414633741536,0.00011506022369903404,-0.33991727734680743,4.103676422653882e-05,0.940453651162357,0.9987919687504072,-0.04401278665106715,-0.0006042028996558394,-0.021778534018638496,0.0016757582607271207
variation_020,20.7,4761.276666666667,2.02e-05,4761.276666666667,3.36e-05,3.52522101714205,235256732.57730994,850738.0297380278,1960.929949194318,3.129308591890195,-1.3893152352985966e-06,2.8383597626135105e-09,0.9404545378526791,2.785541090813199e-09,0.33991949374870123,-0.0015665964643747576,0.00011341121465439363,-0.3399190762167387,4.014595437250373e-05,0.9404533762636377,0.9985935276017701,-0.04736867580921239,-0.0005326138092910996,-0.023763585945428448,0.0014776635201972693
variation_021,27.606666666666666,5262.463333333333,2.4666666666666665e-05,4260.09,3.36e-05,1.2154579478493477,467345708.26374435,916688.1511914821,690.7350018547065,2.989007848396182,-1.2813119711862005e-06,8.842792823953155e-10,0.8802912049764958,2.4909494647887327e-09,0.47443376190927594,-0.004357432537156754,0.0004268616473694964,-0.4744292004123218,0.0002835991325416926,0.8802827295468628,0.9959889102290089,-0.07295694761935022,-0.0020796372380377398,-0.051615302488352985,0.003861366713054102
variation_022,20.7,4761.276666666667,2.4666666666666665e-05,4260.09,2.02e-05,3.7817706251987255,163558018.14475042,847671.4752549222,1851.2567832743393,3.291674262670109,-1.3964039214601274e-06,3.051892153268825e-09,0.5569882009623675,3.5900187189542035e-09,0.8305204055209936,-0.0016012357289991207,6.049031070506949e-05,0.8305193336791609,0.00010255998113661828,-0.5569874848249606,0.9987246313115613,-0.030060964204325906,0.0013339042137955252,-0.040532365668903836,-0.0008929028632192505
variation_023,31.06,5262.463333333333,2.02e-05,5262.463333333333,2.4666666666666665e-05,3.7846892109148538,226501973.0060008,1272330.862690333,2221.083384248646,3.146283385693846,-9.208056978650592e-07,1.4239869326075275e-10,0.8305201145436848,8.825138013247474e-10,0.556988634836921,-0.0013148922940226888,0.00015078721291223978,-0.5569881452089035,0.00010029097197428618,0.8305193822903464,0.9950923855011997,-0.07859853011057029,-0.0007379837413899203,-0.06009705698452982,0.0011020452734686772
variation_024,20.7,4761.276666666667,3.36e-05,4761.276666666667,2.4666666666666665e-05,3.485876372642316,247207576.51250386,687500.3024876489,1262.8189974369457,2.9957606505154155,-1.7275236444746732e-06,3.838341823230796e-09,0.4744376223255438,4.078679191421548e-09,0.8802891243898793,-0.0024872361660204065,8.11506292623522e-05,0.8802863864506194,0.00015158193518809482,-0.47443615157727753,0.9986683335679183,-0.02814661107373512,0.0021951670300128716,-0.04316380387272948,-0.0011811395713885804
