variation_id,direction_rank,sensitivity,interpretation,spectral_effect,Rsh_component,Ra_component,Ca_component,Rb_component,Cb_component
variation_011,2,3.874999776157045,Primary: Rsh (96.2%),Mid-frequency phase,0.962339338277873,6.8802015783717565e-09,6.296677911141176e-07,0.2718510584325753,-5.621130821951517e-06
variation_011,3,0.12684130490592138,Primary: Rb (96.2%),High-frequency behavior,-0.271851058426369,-6.742270793966656e-08,-6.146622084091782e-06,0.9623393382765667,3.107362449200435e-07
variation_012,1,152916.90799939615,Primary: Cb (100.0%),Low-frequency magnitude,-5.04756393200408e-06,1.7172929743195153e-12,1.9240735842544026e-10,-1.2049604222078228e-06,-0.9999999999865351
variation_012,2,3.528374138633186,Primary: Rsh (95.3%),Mid-frequency phase,0.9530856675299363,1.3392820941242501e-08,1.5039296650274136e-06,0.302700694283922,-5.1755031957014116e-06
variation_012,3,0.2134634653416186,Primary: Rb (95.3%),High-frequency behavior,-0.30270069426425245,-7.384267347768574e-08,-8.261150188611382e-06,0.9530856675155409,3.7947059664656454e-07
variation_013,1,167236.11161654696,Primary: Cb (100.0%),Low-frequency magnitude,-5.952363192698375e-06,1.1065592886289786e-12,1.0621474682886128e-10,-4.925171669433879e-07,-0.9999999999821634
variation_013,2,3.675364872007608,Primary: Rsh (99.2%),Mid-frequency phase,0.9919049122891282,1.099963802551207e-08,1.0572769011375537e-06,0.12698285293683215,-5.966719525539456e-06
variation_013,3,0.30625729743576635,Primary: Rb (99.2%),High-frequency behavior,-0.12698285293220582,-4.278960608167984e-08,-4.102189301358788e-06,0.9919049122997108,2.673178621834113e-07
variation_014,1,125947.84936040425,Primary: Cb (100.0%),Low-frequency magnitude,-8.902970678980806e-06,8.884004642935168e-13,6.891311944620046e-11,-3.9400194895219366e-07,-0.999999999960291
variation_014,2,4.082495713759326,Primary: Rsh (99.7%),Mid-frequency phase,0.9974454137849368,6.214990783685637e-09,4.826463956850351e-07,0.07143281066711685,-8.908371939753636e-06
variation_014,3,0.2474414563755343,Primary: Rb (99.7%),High-frequency behavior,-0.07143281066636005,-3.2481117807428154e-08,-2.517393168214026e-06,0.9974454138216823,2.4296878169675457e-07
