variation_id,Rsh,Ra,Ca,Rb,Cb,resnorm,condition_number,pc1_sensitivity,pc2_sensitivity,pc3_sensitivity,pc1_rsh_component,pc1_ra_component,pc1_ca_component,pc1_rb_component,pc1_cb_component,pc2_rsh_component,pc2_ra_component,pc2_ca_component,pc2_rb_component,pc2_cb_component,pc3_rsh_component,pc3_ra_component,pc3_ca_component,pc3_rb_component,pc3_cb_component
variation_014,20.031763329040356,5011.869648651636,32.2973972379832,29.789382838327967,3.0331739172115204e-05,0.9628656957453634,inf,125947.84936040425,4.082495713759326,0.2474414563755343,-8.902970678980806e-06,8.884004642935168e-13,6.891311944620046e-11,-3.9400194895219366e-07,-0.999999999960291,0.9974454137849368,6.214990783685637e-09,4.826463956850351e-07,0.07143281066711685,-8.908371939753636e-06,-0.07143281066636005,-3.2481117807428154e-08,-2.517393168214026e-06,0.9974454138216823,2.4296878169675457e-07
variation_015,26.227624884440992,5011.87119370957,25.822600306112857,21.607409731026923,2.7598203871358847e-05,1.0909583683279205,inf,123273.94204337009,3.521550752682938,0.12995727168687202,-4.855371134330549e-06,2.126743224877383e-12,2.063719214526106e-10,-1.9294375689477977e-06,-0.9999999999863516,0.8900119872462491,1.1006455039859981e-08,1.0705058100572633e-06,0.4559371256322368,-5.201040731206591e-06,-0.4559371256058989,-9.958725355021515e-08,-9.647183965799873e-06,0.8900119872231534,4.965213917899384e-07
variation_016,24.35469177726323,5011.868906712145,23.425518986165404,22.508490455857146,2.7378932941364984e-05,1.2402710175575116,inf,120189.40858745945,3.609388128764909,0.13484782603091258,-5.408866044859627e-06,2.159383782085975e-12,2.310022327118344e-10,-1.763882336821978e-06,-0.9999999999838165,0.9226783341093926,1.100064015514252e-08,1.1796545271384916e-06,0.3855706053780128,-5.670744691935223e-06,-0.3855706053500202,-9.713142174746375e-08,-1.0370420078765802e-05,0.9226783340808725,4.580037367317354e-07
variation_017,20.16974470728466,5011.869735633152,25.098129258078497,22.288553001743352,2.90232788121031e-05,2.3482200885195548,inf,98485.10419000692,3.8058088658004854,0.1273670947611184,-7.434780462449923e-06,2.0543566841048318e-12,2.05101786454717e-10,-1.819121590538569e-06,-0.9999999999707074,0.9554022345974976,8.55917198123781e-09,8.563494655682322e-07,0.29530758552227937,-7.640406272287976e-06,-0.2953075855108181,-8.282121171795889e-08,-8.25518639127425e-06,0.955402234596197,4.575542328864294e-07
variation_018,31.206850665165554,5011.871316839792,28.50369802594132,22.563803053265353,2.7898835653470266e-05,0.1564598478839252,inf,150549.7095720105,3.368132198046595,0.1638967846995107,-3.942639929965969e-06,1.7655876754335277e-12,1.5523362256344977e-10,-1.7596239233941057e-06,-0.9999999999906798,0.8618872043708414,1.2284895620771273e-08,1.0823676082899665e-06,0.5071000364052801,-4.290416262563943e-06,-0.5071000363864563,-8.705407392145528e-08,-7.642978877050505e-06,0.8618872043592475,4.827155067045242e-07
variation_019,25.702449661209197,5011.870439182211,21.05348489296829,28.704088649989533,2.9497853755003403e-05,0.6214730178444874,inf,161356.5642565608,3.6473090852572327,0.28624808567090315,-5.92121273648146e-06,1.469935284572399e-12,1.7495853091189334e-10,-6.525285734799076e-07,-0.9999999999822567,0.9873356064285783,1.3749391046207219e-08,1.6398233476834887e-06,0.15864551755477557,-5.9497449010441974e-06,-0.15864551754138068,-5.720542278643107e-08,-6.798954065272631e-06,0.9873356064265646,2.9510916305988383e-07
variation_020,20.19231479243661,5011.870137451118,27.73433226048239,29.1598510199269,2.785334210838034e-05,1.0076826729035986,inf,125009.96632942077,4.080510416058713,0.20251555950814645,-8.017958951674478e-06,1.081801315165841e-12,9.776736733751431e-11,-6.912055095431088e-07,-0.9999999999676171,0.9930626359100995,6.73414752395779e-09,6.096319754454646e-07,0.11758656851109262,-8.04361193537286e-06,-0.11758656850961982,-4.311923809728721e-08,-3.891481507066125e-06,0.9930626359353781,2.5639391392624576e-07
variation_021,30.178242536522998,5011.870520757717,31.54158826141692,26.97732621978125,2.6933544254744613e-05,1.301372391438407,inf,178079.76799546822,3.4272089438668445,0.23801146145530902,-4.227652689642715e-06,1.1141088051252853e-12,8.850603880978781e-11,-1.0577092140144527e-06,-0.9999999999905042,0.9473369281494072,1.0443327698511925e-08,8.309615707021157e-07,0.32023857441739617,-4.3437308031005314e-06,-0.3202385744132848,-5.079148808688497e-08,-4.030712603787223e-06,0.9473369281524784,3.518504724091916e-07
variation_022,21.306435263339225,5011.868981531399,25.093145446233507,21.12902103187434,3.0081492427334395e-05,2.3279363152060175,inf,98855.22759569572,3.685708671537368,0.1273242792765716,-6.978907889007458e-06,2.2868373850951255e-12,2.283777672366918e-10,-2.0681713266810872e-06,-0.9999999999735089,0.9358800766518909,9.690607945717786e-09,9.69988168813891e-07,0.3523187222848102,-7.260076329363929e-06,-0.3523187222675589,-9.188323845686174e-08,-9.160055734496473e-06,0.93588007664207,5.232395684765156e-07
variation_023,21.047560216713833,5011.870685810411,21.415282373494193,21.35334530123736,2.5923732587949744e-05,2.336825915733247,inf,98731.24912107617,3.7673765137916244,0.09516156250061152,-6.156330577234289e-06,2.6272317637261706e-12,3.0744766023393446e-10,-1.9297972868284684e-06,-0.9999999999791878,0.9307522689485743,9.464166286339087e-09,1.1109450818337887e-06,0.3656503983375768,-6.435649799590216e-06,-0.36565039829134366,-1.2126395774144563e-07,-1.4154404289192966e-05,0.9307522688819043,4.5490152003855354e-07
variation_024,20.76038585648799,5011.870438171822,26.946795821909838,24.70085429348506,2.448762364722446e-05,1.6581244209816686,inf,111808.8063636506,3.918518082849586,0.11541810789360807,-6.299538080664171e-06,1.5585310815845663e-12,1.449812069205748e-10,-1.4020739686059067e-06,-0.9999999999791748,0.9632313277526015,6.694842116868409e-09,6.24115465135075e-07,0.26867342480051426,-6.444612444678903e-06,-0.26867342479381795,-7.275862140737451e-08,-6.753986772591816e-06,0.9632313277524884,3.4199689939145336e-07
